67,A.J. Green,8,9,0,0,0,0,848,3,0,6.43,2021,33,ARI,16,9,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,102.8,156.80,6.43,9.80,0,0,,0,0.0,92,54,848,15.7,3,53.0,58.7,9.2,8,3,0,0,,0,0,,0,0,18,WR
68,Damien Harris,8,15,0,0,929,15,132,0,0,12.81,2021,24,NWE,15,15,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,192.1,210.10,12.81,14.01,202,929,4.6,15,61.9,21,18,132,7.3,0,8.8,85.7,6.3,8,15,0,0,,0,0,,0,0,90,RB
69,Van Jefferson,8,17,0,0,20,0,802,6,0,6.95,2021,25,LAR,17,17,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,118.2,168.20,6.95,9.89,2,20,10.0,0,1.2,89,50,802,16.0,6,47.2,56.2,9.0,8,6,0,0,,0,0,,0,0,36,WR
70,Alvin Kamara,8,10,0,0,898,4,439,5,0,14.44,2021,26,NOR,13,10,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,187.7,234.70,14.44,18.05,240,898,3.7,4,69.1,67,47,439,9.3,5,33.8,70.1,6.6,8,9,0,0,,0,0,,0,0,54,RB
71,George Kittle,8,14,0,0,20,0,910,6,0,9.07,2021,28,SFO,14,14,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,127.0,198.00,9.07,14.14,3,20,6.7,0,1.4,94,71,910,12.8,6,65.0,75.5,9.7,8,6,0,0,,0,0,,0,0,36,TE
72,Cordarrelle Patterson,8,13,0,0,618,6,548,5,0,11.41,2021,30,ATL,16,13,0,1,1,0.0,0,0,0,,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,,,,,,182.6,234.60,11.41,14.66,153,618,4.0,6,38.6,69,52,548,10.5,5,34.3,75.4,7.9,8,11,0,0,,0,0,,0,0,66,RB
73,Kyle Pitts,8,15,0,0,0,0,1026,1,0,6.39,2021,21,ATL,17,15,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,108.6,176.60,6.39,10.39,0,0,,0,0.0,110,68,1026,15.1,1,60.4,61.8,9.3,8,1,0,0,,0,0,,0,0,6,TE
74,Tony Pollard,8,0,0,0,719,2,337,0,0,8.24,2021,24,DAL,15,0,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,123.6,162.60,8.24,10.84,130,719,5.5,2,47.9,46,39,337,8.6,0,22.5,84.8,7.3,8,3,0,0,,0,0,,0,0,18,RB
75,Hunter Renfrow,8,9,0,0,3,0,1038,9,0,9.18,2021,26,LVR,17,9,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,156.1,259.10,9.18,15.24,3,3,1.0,0,0.2,128,103,1038,10.1,9,61.1,80.5,8.1,8,9,0,0,,0,0,,0,0,54,WR
76,Devin Singletary,8,16,0,0,870,7,228,1,0,9.28,2021,24,BUF,17,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,157.8,197.80,9.28,11.64,188,870,4.6,7,51.2,50,40,228,5.7,1,13.4,80.0,4.6,8,8,0,0,,0,0,,0,0,48,RB
77,Amon-Ra St. Brown,8,9,0,0,61,1,912,5,0,8.08,2021,22,DET,17,9,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,137.3,227.30,8.08,13.37,7,61,8.7,1,3.6,119,90,912,10.1,5,53.6,75.6,7.7,8,6,0,0,,0,0,,2,0,40,WR
78,Darrel Williams,8,7,0,0,558,6,452,2,0,8.76,2021,26,KAN,17,7,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,149.0,196.00,8.76,11.53,144,558,3.9,6,32.8,57,47,452,9.6,2,26.6,82.5,7.9,8,8,0,0,,0,0,,0,0,48,RB
79,Javonte Williams,8,1,0,0,903,4,316,3,0,9.52,2021,21,DEN,17,1,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,161.9,204.90,9.52,12.05,203,903,4.4,4,53.1,53,43,316,7.3,3,18.6,81.1,6.0,8,7,0,0,,0,0,,0,0,42,RB
80,Brandon Aiyuk,7,16,0,0,17,0,826,5,0,6.72,2021,23,SFO,17,16,0,0,0,,0,0,0,,,,,0,0,,,,,,0.0,,,,,,114.3,170.30,6.72,10.02,5,17,3.4,0,1.0,84,56,826,14.8,5,48.6,66.7,9.8,7,5,0,0,,0,0,,1,0,32,WR
